Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Hyundai i40;Hyundai;i40;2013;;2;Benzīns;Automāts 6 ātrumi;Melna;Hečbeks;7300;144850
Citroen C4 Picasso;Citroen;C4 Picasso;2015;;1,6;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Minivens;7300;
Toyota Auris;Toyota;Auris;2015;;1,8;Hybrid;Automāts;Sarkana;Universāls;7295;
Nissan Murano;Nissan;Murano;2012;;3,5;Benzīns/Gāze;Automāts;Brūnametālika;Apvidus;7290;289134
Hyundai i40;Hyundai;i40;2013;;1,7;Dīzelis;Automāts;Brūna;Universāls;7290;
Nissan Qashqai;Nissan;Qashqai;2011;;1,5;Dīzelis;Manuāla 6 ātrumi;NA;Apvidus;7250;178690
Toyota Prius;Toyota;Prius;2009;;1,8;Hybrid;Automāts;Baltametālika;Hečbeks;7250;138600
Kia Sportage;Kia;Sportage;2012;Oktobris;1,7;Dīzelis;Manuāla 6 ātrumi;Oranža;Apvidus;7250;230111
Nissan Qashqai;Nissan;Qashqai;2012;Marts;1,5;Dīzelis;Manuāla 6 ātrumi;Tumši;Apvidus;7250;209265
Citroen C3;Citroen;C3;2016;Oktobris;1,2;Benzīns;Manuāla 5 ātrumi;Zila;Hečbeks;7250;129100
Citroen C4 Cactus;Citroen;C4 Cactus;2015;;1,6;Dīzelis;Automāts;Melnametālika;Apvidus;7250;
Toyota Prius;Toyota;Prius;2010;Jūlijs;1,8;Benzīns/Gāze;Automāts;Pelēka;Hečbeks;7249;219915
Toyota Proace;Toyota;Proace;2016;Maijs;2;Dīzelis;Manuāla 6 ātrumi;Brūnametālika;Mikroautobuss;7200;157000
Toyota Auris;Toyota;Auris;2013;Jūlijs;2;Dīzelis;Manuāla 6 ātrumi;NA;Hečbeks;7200;155423
Toyota Hilux;Toyota;Hilux;2006;Jūnijs;2,5;Dīzelis;Manuāla;Sudraba;Pikaps;7200;594672
Toyota Auris;Toyota;Auris;2016;Februāris;1,6;Benzīns;Automāts 6 ātrumi;Baltametālika;Universāls;7200;196000
Nissan Murano;Nissan;Murano;2012;Februāris;2,5;Dīzelis;Automāts;Zila;Apvidus;7200;193000
Citroen C4 Cactus;Citroen;C4 Cactus;2015;Decembris;1,2;Benzīns;Manuāla 5 ātrumi;Pelēkametālika;Hečbeks;7200;164172
Nissan Qashqai;Nissan;Qashqai;2013;Jūlijs;1,6;Dīzelis;Manuāla 6 ātrumi;Brūnametālika;Universāls;7200;183000
Hyundai H-1;Hyundai;H-1;2010;Marts;2,5;Dīzelis;Manuāla 5 ātrumi;Pelēkametālika;Mikroautobuss;7200;
Nissan Juke;Nissan;Juke;2013;;1,5;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;7200;157501
Toyota RAV 4;Toyota;RAV 4;2010;Oktobris;2,2;Dīzelis;Manuāla 6 ātrumi;Melna;Apvidus;7190;225000
Nissan Qashqai;Nissan;Qashqai;2013;Jūlijs;1,6;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Apvidus;7150;
Toyota Auris;Toyota;Auris;2014;Maijs;1,6;Benzīns;Automāts;Sarkanametālika;Hečbeks;7150;207800
Nissan Qashqai;Nissan;Qashqai;2013;Marts;1,5;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Apvidus;7150;224358
Porsche Cayenne;Porsche;Cayenne;2004;Janvāris;3,2;Benzīns;Automāts;Melna;Apvidus;7100;302786
Hyundai ix35;Hyundai;ix35;2010;Augusts;2;Dīzelis;Manuāla 6 ātrumi;Balta;Apvidus;7100;222333
Nissan Qashqai;Nissan;Qashqai;2011;Decembris;2;Benzīns;Automāts;Melnametālika;Apvidus;7100;164070
Toyota Avensis;Toyota;Avensis;2012;Novembris;2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Sedans;7100;
Toyota RAV 4;Toyota;RAV 4;2009;Decembris;2;Benzīns;Automāts 5 ātrumi;Gaiši;Apvidus;7100;177000
Toyota Land Cruiser;Toyota;Land Cruiser;2005;;3;Dīzelis;Automāts;Brūnametālika;Apvidus;7100;348500
Toyota Land Cruiser;Toyota;Land Cruiser;2003;Septembris;3;Dīzelis;Automāts 6 ātrumi;Dzeltena;Apvidus;7100;350000
Hyundai Santa FE;Hyundai;Santa FE;2011;Decembris;2,2;Dīzelis;Automāts 6 ātrumi;Balta;Apvidus;7000;300000
Toyota RAV 4;Toyota;RAV 4;2011;Maijs;2,2;Dīzelis;Automāts;Melnametālika;Apvidus;7000;193103
Toyota Auris;Toyota;Auris;2012;;1,8;Hybrid;Automāts;Pelēkametālika;Hečbeks;7000;193253
Toyota Yaris;Toyota;Yaris;2015;Jūlijs;1,3;Benzīns;Automāts;Pelēkametālika;Hečbeks;7000;238825
Toyota Avensis;Toyota;Avensis;2013;;2;Dīzelis;Manuāla 6 ātrumi;Zila;Universāls;7000;182633
Toyota Avensis;Toyota;Avensis;2014;Septembris;2;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Universāls;7000;255414
Toyota Verso;Toyota;Verso;2012;Decembris;2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Minivens;7000;227939
Toyota Auris;Toyota;Auris;2014;Oktobris;1,6;Benzīns;Manuāla;Balta;Hečbeks;7000;117000
Toyota Avensis;Toyota;Avensis;2011;Oktobris;2;Benzīns;Automāts 6 ātrumi;Melna;Universāls;7000;161000
Kia Sorento;Kia;Sorento;2012;Jūnijs;2,2;Dīzelis;Automāts 6 ātrumi;Pelēkametālika;Apvidus;7000;358000
Nissan Qashqai;Nissan;Qashqai;2012;Oktobris;1,6;Benzīns/Gāze;Automāts;Violeta;Apvidus;7000;108000
Nissan Qashqai;Nissan;Qashqai;2010;Maijs;2;Benzīns;Automāts 6 ātrumi;Pelēkametālika;Apvidus;7000;152000
Citroen DS;Citroen;DS;2014;Aprīlis;1,6;Dīzelis;Automāts 6 ātrumi;Balta;Hečbeks;7000;280123
Hyundai i30;Hyundai;i30;2016;Jūlijs;1,4;Dīzelis;Manuāla;Pelēka;Hečbeks;7000;108293
Hyundai i30;Hyundai;i30;2016;Decembris;1,6;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Hečbeks;6996;192500
Kia Sorento;Kia;Sorento;2011;Septembris;2,2;Dīzelis;Automāts;Pelēka;Apvidus;6995;
Toyota Avensis;Toyota;Avensis;2012;Maijs;1,8;Benzīns;Automāts;Pelēka;Universāls;6995;
Hyundai ix35;Hyundai;ix35;2012;Februāris;2;Dīzelis;Manuāla;Pelēka;Apvidus;6995;286771
Toyota Corolla;Toyota;Corolla;2016;Aprīlis;1,4;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Sedans;6990;
Kia Ceed;Kia;Ceed;2014;Maijs;1,6;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Hečbeks;6990;
Nissan Navara;Nissan;Navara;2007;Augusts;2,5;Dīzelis;Automāts 5 ātrumi;Sudraba;Apvidus;6990;280000
Toyota Corolla;Toyota;Corolla;2011;Aprīlis;1,6;Benzīns;Automāts 5 ātrumi;Sudrabametālika;Sedans;6990;187903
Toyota Yaris;Toyota;Yaris;2016;Septembris;1,3;Benzīns;Manuāla 6 ātrumi;Pelēkametālika;Hečbeks;6990;127000
Hyundai i20;Hyundai;i20;2016;Maijs;1;Benzīns;Manuāla;Brūnametālika;Hečbeks;6990;95000
Citroen C3;Citroen;C3;2017;Novembris;1,2;Benzīns;Manuāla 5 ātrumi;Sarkana;Hečbeks;6950;90000
Citroen DS;Citroen;DS;2013;Februāris;2;Dīzelis;Automāts;Pelēkametālika;Hečbeks;6950;245000
Citroen C3;Citroen;C3;2014;Maijs;1,4;Dīzelis;Automāts;Zilametālika;Hečbeks;6950;152445
Nissan Leaf;Nissan;Leaf;2013;Oktobris;;;Automāts;Baltametālika;Hečbeks;6950;118017
Toyota RAV 4;Toyota;RAV 4;2011;Februāris;2,2;Dīzelis;Automāts 6 ātrumi;Pelēkametālika;Apvidus;6950;
Nissan Qashqai;Nissan;Qashqai;2013;;1,6;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;6950;
Citroen C4 Picasso;Citroen;C4 Picasso;2014;Augusts;1,6;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Minivens;6950;
Toyota Avensis;Toyota;Avensis;2012;;2;Benzīns;Automāts;Pelēkametālika;Universāls;6950;
Toyota Auris;Toyota;Auris;2012;;1,8;Hybrid;Automāts;Tumši;Hečbeks;6950;
Toyota Avensis;Toyota;Avensis;2012;Maijs;2;Dīzelis;Manuāla 6 ātrumi;Zaļametālika;Universāls;6950;
Toyota Verso;Toyota;Verso;2010;Oktobris;1,8;Benzīns;Automāts;Sudrabametālika;Minivens;6950;252668
Toyota Avensis;Toyota;Avensis;2013;;2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Universāls;6950;227178
Toyota Urban Cruiser;Toyota;Urban Cruiser;2014;;1,4;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Apvidus;6950;170125
Porsche Cayenne;Porsche;Cayenne;2005;;3,2;Benzīns/Gāze;Automāts;Balta;Apvidus;6950;288000
Nissan Qashqai;Nissan;Qashqai;2012;Novembris;1,6;Benzīns/Gāze;Manuāla 5 ātrumi;Sarkanametālika;Apvidus;6950;191450
Nissan Pathfinder;Nissan;Pathfinder;2005;Decembris;2,5;Dīzelis;Automāts;Pelēkametālika;Apvidus;6950;229800
Nissan Pathfinder;Nissan;Pathfinder;2007;;2,5;Dīzelis;Manuāla 6 ātrumi;Zila;Apvidus;6950;286377
Citroen DS;Citroen;DS;2014;Maijs;1,6;Dīzelis;Manuāla;Balta;Hečbeks;6950;178100
Citroen C4 Picasso;Citroen;C4 Picasso;2015;Maijs;1,6;Dīzelis;Manuāla 6 ātrumi;Gaiši;Minivens;6950;254930
Kia RIO;Kia;RIO;2017;Novembris;1,4;Benzīns;Manuāla;Pelēkametālika;Hečbeks;6900;138600
Toyota Yaris;Toyota;Yaris;2013;Decembris;1,5;Hybrid;Automāts;Sudraba;Hečbeks;6900;178000
Toyota Avensis;Toyota;Avensis;2012;Marts;2;Dīzelis;Manuāla 6 ātrumi;Zilametālika;Universāls;6900;235337
Toyota Verso;Toyota;Verso;2013;Novembris;2;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Minivens;6900;171147
Porsche Cayenne;Porsche;Cayenne;2007;Jūlijs;3,6;Benzīns;Automāts 7 ātrumi;Melnametālika;Apvidus;6900;205000
Citroen C-Crosser;Citroen;C-Crosser;2009;Jūnijs;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;6900;145000
Hyundai Santa FE;Hyundai;Santa FE;2012;Jūlijs;2,2;Dīzelis;Automāts;Brūnametālika;Apvidus;6900;251159
Nissan King Cab;Nissan;King Cab;2010;Decembris;2,5;Dīzelis;Manuāla 5 ātrumi;Zilametālika;Apvidus;6900;182245
Nissan Juke;Nissan;Juke;2011;;1,6;Benzīns;Manuāla;NA;Apvidus;6900;200000
Hyundai i20;Hyundai;i20;2019;Janvāris;1,2;Benzīns;Manuāla 5 ātrumi;Balta;Hečbeks;6900;140671
Hyundai i20;Hyundai;i20;2019;Jūlijs;1,2;Benzīns;Manuāla 5 ātrumi;Pelēkametālika;Hečbeks;6900;133142
Toyota Auris;Toyota;Auris;2010;Novembris;1,8;Hybrid;Automāts;Balta;Hečbeks;6900;205030
Hyundai i40;Hyundai;i40;2012;Novembris;1,7;Dīzelis;Automāts 6 ātrumi;Balta;Universāls;6900;109500
Hyundai i40;Hyundai;i40;2012;Aprīlis;1,7;Dīzelis;Automāts;Baltametālika;Universāls;6900;
Citroen C4 Picasso;Citroen;C4 Picasso;2014;;1,6;Dīzelis;Manuāla;Baltametālika;Minivens;6900;
Toyota RAV 4;Toyota;RAV 4;2009;Novembris;2,2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;6890;138700
Toyota Auris;Toyota;Auris;2015;;1,4;Dīzelis;Manuāla 6 ātrumi;Balta;Hečbeks;6890;261572
Citroen Jumpy;Citroen;Jumpy;2015;;2;Dīzelis;Manuāla;Zila;Minivens;6890;149705
Toyota Aygo;Toyota;Aygo;2016;Jūlijs;1;Benzīns;Automāts;Oranžametālika;Hečbeks;6850;161500
Hyundai ix35;Hyundai;ix35;2010;;2;Benzīns;Manuāla 5 ātrumi;Pelēka;Apvidus;6850;125000
Nissan Patrol;Nissan;Patrol;2001;Marts;3;Dīzelis;Manuāla 5 ātrumi;NA;Apvidus;6850;234865
Citroen DS;Citroen;DS;2012;Novembris;1,6;Dīzelis;Automāts;Pelēkametālika;Hečbeks;6850;271616
Kia Sorento;Kia;Sorento;2010;Decembris;2,2;Dīzelis;Automāts;Pelēkametālika;Hečbeks;6800;262649
Toyota Avensis;Toyota;Avensis;2012;Februāris;2;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Sedans;6800;323000
Toyota Verso;Toyota;Verso;2014;Aprīlis;1,8;Benzīns/Gāze;Manuāla 6 ātrumi;Melnametālika;Minivens;6800;178000
Suzuki Jimny;Suzuki;Jimny;2010;Aprīlis;1,5;Dīzelis;Manuāla;Pelēkametālika;Apvidus;6800;258066
Nissan Juke;Nissan;Juke;2012;;1,5;Dīzelis;Manuāla 6 ātrumi;Brūna;Apvidus;6800;167323
Citroen C4 Picasso;Citroen;C4 Picasso;2014;;1,6;Dīzelis;Automāts 6 ātrumi;Zilametālika;Minivens;6800;290000
Citroen C3;Citroen;C3;2017;Septembris;1,5;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Hečbeks;6800;148000
Hyundai i30;Hyundai;i30;2016;Marts;1,4;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Hečbeks;6800;170000
Porsche Cayenne;Porsche;Cayenne;2005;Aprīlis;4,5;Benzīns;Automāts 6 ātrumi;Melna;Universāls;6800;229604
Toyota Land Cruiser;Toyota;Land Cruiser;2003;Oktobris;3;Dīzelis;Manuāla;Sudraba;Apvidus;6800;
Citroen Jumper;Citroen;Jumper;2016;Aprīlis;2,2;Dīzelis;Manuāla 6 ātrumi;Sarkana;Mikroautobuss;6800;
Citroen C-Elysee;Citroen;C-Elysee;2018;Jūnijs;1,2;Benzīns;Manuāla;Pelēkametālika;Sedans;6800;
Hyundai i30;Hyundai;i30;2018;Februāris;1,6;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Hečbeks;6770;146545
Hyundai Santa FE;Hyundai;Santa FE;2009;Jūnijs;2,2;Dīzelis;Manuāla;Sudraba;Apvidus;6750;223808
Nissan X-Trail;Nissan;X-Trail;2009;Novembris;2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;6750;254897
Citroen Berlingo;Citroen;Berlingo;2017;Novembris;1,6;Dīzelis;Manuāla;Sarkana;-;6750;173300
Toyota Avensis;Toyota;Avensis;2011;Novembris;2;Benzīns;Automāts;Sudraba;Universāls;6750;229428
Toyota Avensis;Toyota;Avensis;2012;Marts;2,2;Dīzelis;Automāts;NA;Universāls;6750;273978
Toyota Auris;Toyota;Auris;2013;Novembris;1,4;Dīzelis;Manuāla 6 ātrumi;Pelēka;Hečbeks;6700;190000
Toyota Land Cruiser;Toyota;Land Cruiser;2006;Aprīlis;3;Dīzelis;Automāts 5 ātrumi;Zilametālika;Apvidus;6700;430000
Citroen C3;Citroen;C3;2017;Jūnijs;1,2;Benzīns;Manuāla;Sarkanametālika;Hečbeks;6700;117000
Kia Carnival;Kia;Carnival;2011;Jūlijs;2,2;Dīzelis;Automāts 6 ātrumi;Sudrabametālika;Minivens;6700;137000
Nissan Qashqai;Nissan;Qashqai;2010;;2;Dīzelis;Automāts;Tumši;Apvidus;6700;187000
Toyota Yaris;Toyota;Yaris;2017;;1,5;Benzīns;Manuāla 6 ātrumi;Sudraba;Hečbeks;6660;183000
Nissan Qashqai;Nissan;Qashqai;2010;;1,5;Dīzelis;Manuāla 6 ātrumi;Violetametālika;Apvidus;6650;
Toyota Verso;Toyota;Verso;2013;;2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Minivens;6650;252500
Toyota Avensis;Toyota;Avensis;2012;Decembris;2,2;Dīzelis;Automāts;Pelēkametālika;Universāls;6600;249000
Toyota Auris;Toyota;Auris;2015;Marts;2;Dīzelis;Manuāla 6 ātrumi;Balta;Universāls;6600;203000
Citroen C4 Cactus;Citroen;C4 Cactus;2014;Decembris;1,6;Dīzelis;Automāts 6 ātrumi;Sudrabametālika;Hečbeks;6600;257000
Nissan Qashqai;Nissan;Qashqai;2012;Janvāris;2;Dīzelis;Automāts;Pelēkametālika;Minivens;6600;230000
Toyota Verso;Toyota;Verso;2011;;2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Minivens;6600;
Citroen Berlingo;Citroen;Berlingo;2016;;1,5;Dīzelis;Manuāla;Pelēka;Pikaps;6600;
Toyota Avensis;Toyota;Avensis;2012;Jūnijs;2,2;Dīzelis;Automāts;Pelēkametālika;Universāls;6600;215000
Toyota Auris;Toyota;Auris;2012;Septembris;1,8;Hybrid;Automāts;Pelēkametālika;Hečbeks;6590;250000
Nissan Qashqai;Nissan;Qashqai;2012;Februāris;1,6;Dīzelis;Manuāla 6 ātrumi;Balta;Apvidus;6580;260468
Nissan Juke;Nissan;Juke;2012;Augusts;1,6;Benzīns;Automāts;Sarkanametālika;-;6555;224200
Nissan X-Trail;Nissan;X-Trail;2009;;2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;6550;240200
Citroen DS;Citroen;DS;2011;;1,6;Dīzelis;Automāts 6 ātrumi;Sudrabametālika;Hečbeks;6550;
Hyundai ix35;Hyundai;ix35;2012;Oktobris;2;Benzīns;Automāts;Sudrabametālika;Apvidus;6550;
Toyota Prius;Toyota;Prius;2010;;1,8;Hybrid;Automāts;Balta;Hečbeks;6500;
Toyota Avensis;Toyota;Avensis;2011;Jūlijs;2;Benzīns;Automāts;Pelēka;Sedans;6500;134000
Toyota Avensis;Toyota;Avensis;2010;;2,2;Dīzelis;Automāts;NA;Sedans;6500;310000
Toyota Avensis;Toyota;Avensis;2013;Jūnijs;2,2;Dīzelis;Automāts;Sudrabametālika;Sedans;6500;187000
Toyota Avensis;Toyota;Avensis;2012;Janvāris;2;Dīzelis;Manuāla 6 ātrumi;Zilametālika;Universāls;6500;261480
Toyota Avensis;Toyota;Avensis;2012;Decembris;2;Dīzelis;Manuāla;Brūna;Universāls;6500;285821
Toyota Auris;Toyota;Auris;2015;Jūnijs;2;Dīzelis;Manuāla 6 ātrumi;Balta;Hečbeks;6500;237645
Toyota RAV 4;Toyota;RAV 4;2011;Oktobris;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;6500;229000
Toyota RAV 4;Toyota;RAV 4;2008;Marts;2,2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;6500;314463
Toyota Hilux;Toyota;Hilux;2009;;2,5;Dīzelis;Manuāla;Sudrabametālika;Pikaps;6500;580000
Toyota Avensis;Toyota;Avensis;2011;Jūnijs;1,8;Benzīns;Automāts 6 ātrumi;Sudrabametālika;Sedans;6500;189790
Toyota Corolla;Toyota;Corolla;2013;Decembris;1,6;Benzīns;Manuāla 6 ātrumi;Sudrabametālika;Sedans;6500;247400
Hyundai Santa FE;Hyundai;Santa FE;2010;;2,2;Dīzelis;Manuāla;Melna;Apvidus;6500;234539
Hyundai Santa FE;Hyundai;Santa FE;2009;Maijs;2,2;Dīzelis;Manuāla 5 ātrumi;Melnametālika;Apvidus;6500;191000
Hyundai Santa FE;Hyundai;Santa FE;2010;;2,2;Dīzelis;Automāts;Brūnametālika;Apvidus;6500;256000
Nissan Qashqai;Nissan;Qashqai;2010;Jūlijs;1,5;Dīzelis;Manuāla 6 ātrumi;Balta;Apvidus;6500;248000
Nissan X-Trail;Nissan;X-Trail;2009;Februāris;2;Dīzelis;Manuāla 6 ātrumi;Brūnametālika;Apvidus;6500;253400
Nissan Juke;Nissan;Juke;2011;Augusts;1,6;Benzīns;Manuāla 5 ātrumi;Brūnametālika;Apvidus;6500;257677
Nissan Juke;Nissan;Juke;2012;;1,5;Dīzelis;Manuāla;Zila;Apvidus;6500;184000
Citroen DS;Citroen;DS;2014;Aprīlis;1,6;Benzīns;Manuāla;Melna;Hečbeks;6500;132375
Citroen Berlingo;Citroen;Berlingo;2012;Jūnijs;1,6;Dīzelis;Manuāla 5 ātrumi;Zaļametālika;Minivens;6500;220000
Citroen C4 Picasso;Citroen;C4 Picasso;2013;Septembris;1,6;Dīzelis;Automāts 6 ātrumi;Pelēkametālika;Hečbeks;6500;154775
Hyundai i20;Hyundai;i20;2016;Jūnijs;1,4;Benzīns;Automāts;Pelēka;Hečbeks;6500;149448
Kia RIO;Kia;RIO;2018;;1,3;Benzīns;Manuāla;Tumši;Hečbeks;6500;160000
Nissan Juke;Nissan;Juke;2012;;1,6;Benzīns/Gāze;Automāts;Sudrabametālika;Hečbeks;6500;193000
Hyundai i40;Hyundai;i40;2012;;1,7;Dīzelis;Manuāla;Zilametālika;Universāls;6500;249100
Toyota Yaris;Toyota;Yaris;2015;;1,4;Dīzelis;Manuāla;Pelēka;Hečbeks;6500;
Citroen C4 Cactus;Citroen;C4 Cactus;2015;Oktobris;1,6;Dīzelis;Manuāla 5 ātrumi;Melnametālika;Hečbeks;6500;
Toyota Avensis;Toyota;Avensis;2013;;2;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Universāls;6490;329454
Citroen Berlingo;Citroen;Berlingo;2012;Jūlijs;1,6;Dīzelis;Manuāla;Melna;Minivens;6490;148000
Toyota Land Cruiser;Toyota;Land Cruiser;2003;Jūlijs;3;Dīzelis;Automāts;Pelēka;Apvidus;6490;
Nissan Qashqai;Nissan;Qashqai;2010;Aprīlis;2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;6490;
Toyota Corolla;Toyota;Corolla;2014;Aprīlis;1,6;Benzīns/Gāze;Manuāla;Pelēka;Sedans;6480;
Toyota Hilux;Toyota;Hilux;2006;Oktobris;2,5;Dīzelis;Manuāla 5 ātrumi;Tumši;Apvidus;6480;590605
Citroen Jumpy;Citroen;Jumpy;2015;Septembris;2;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Mikroautobuss;6450;
Toyota Auris;Toyota;Auris;2013;;1,6;Benzīns/Gāze;Manuāla 6 ātrumi;Pelēkametālika;Hečbeks;6400;250000
Toyota Corolla;Toyota;Corolla;2015;Novembris;1,4;Dīzelis;Manuāla 6 ātrumi;Sudraba;Sedans;6400;205000
Hyundai i30;Hyundai;i30;2013;;1,6;Benzīns;Automāts;Sudrabametālika;Universāls;6400;
Hyundai i40;Hyundai;i40;2013;;1,7;Dīzelis;Manuāla;Pelēka;Universāls;6399;
Toyota Avensis;Toyota;Avensis;2012;Novembris;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Universāls;6390;259821
Citroen Berlingo;Citroen;Berlingo;2014;Aprīlis;1,6;Dīzelis;Automāts 6 ātrumi;Sudraba;-;6390;213000
Hyundai Santa FE;Hyundai;Santa FE;2011;Oktobris;2,2;Dīzelis;Automāts 6 ātrumi;Sudraba;Apvidus;6350;330000
Toyota Verso;Toyota;Verso;2012;Novembris;2;Dīzelis;Manuāla 6 ātrumi;Gaiši;Minivens;6350;344112
Hyundai Tucson;Hyundai;Tucson;2011;;2;Benzīns;Manuāla 5 ātrumi;Pelēka;Apvidus;6350;160097
Hyundai Santa FE;Hyundai;Santa FE;2009;Jūnijs;2,2;Dīzelis;Automāts;Pelēkametālika;Apvidus;6350;307650
Nissan Juke;Nissan;Juke;2010;Novembris;1,5;Dīzelis;Manuāla;Melnametālika;Apvidus;6350;165466
Nissan Cube;Nissan;Cube;2010;;1,6;Benzīns;Manuāla 5 ātrumi;Brūnametālika;Hečbeks;6300;154414
Toyota RAV 4;Toyota;RAV 4;2007;Decembris;2;Benzīns/Gāze;Automāts 4 ātrumi;Melna;Apvidus;6300;195000
Hyundai i10;Hyundai;i10;2017;;1;Benzīns/Gāze;Manuāla;Melnametālika;Hečbeks;6300;78100
Hyundai i40;Hyundai;i40;2013;Janvāris;1,7;Dīzelis;Manuāla 6 ātrumi;Melna;Hečbeks;6300;226600
Nissan Pulsar;Nissan;Pulsar;2015;Aprīlis;1,5;Dīzelis;Manuāla 6 ātrumi;Balta;Hečbeks;6300;163246
Toyota Land Cruiser;Toyota;Land Cruiser;2003;;3;Dīzelis;Automāts;Sudrabametālika;Apvidus;6300;376002
Nissan Note;Nissan;Note;2017;;1,5;Dīzelis;Manuāla;Pelēkametālika;Hečbeks;6300;107925
Hyundai i40;Hyundai;i40;2013;Augusts;1,7;Dīzelis;Automāts;Melnametālika;Sedans;6300;209642
Hyundai i40;Hyundai;i40;2011;Decembris;1,7;Dīzelis;Automāts;Baltametālika;Universāls;6300;263263
Nissan Qashqai;Nissan;Qashqai;2011;;1,5;Dīzelis;Manuāla 6 ātrumi;Pelēka;Apvidus;6290;353852
Hyundai i20;Hyundai;i20;2017;;1,1;Dīzelis;Manuāla 6 ātrumi;Sudraba;Hečbeks;6290;161953
Nissan Note;Nissan;Note;2013;Septembris;1,5;Dīzelis;Manuāla;Baltametālika;Hečbeks;6250;
Nissan Primastar;Nissan;Primastar;2006;Maijs;1,9;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Mikroautobuss;6250;265000
Nissan Note;Nissan;Note;2013;Oktobris;1,5;Dīzelis;Manuāla 5 ātrumi;Sarkanametālika;Hečbeks;6250;
Citroen Berlingo;Citroen;Berlingo;2013;Maijs;1,6;Dīzelis;Automāts 6 ātrumi;Gaiši;Minivens;6250;
Toyota Hiace;Toyota;Hiace;2006;;2,5;Dīzelis;Manuāla 5 ātrumi;Sudraba;Mikroautobuss;6222;287623
Toyota RAV 4;Toyota;RAV 4;2007;Augusts;2;Benzīns;Automāts;Brūnametālika;Apvidus;6200;213934
Toyota Land Cruiser;Toyota;Land Cruiser;2004;Jūlijs;3;Dīzelis;Automāts;Sudraba;Apvidus;6200;349600
Toyota Verso;Toyota;Verso;2013;Augusts;2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Minivens;6200;272000
Toyota Auris;Toyota;Auris;2013;Novembris;1,4;Dīzelis;Manuāla 6 ātrumi;Sarkanametālika;Universāls;6200;175000
Porsche Cayenne;Porsche;Cayenne;2006;;4,5;Benzīns;Automāts;Dzeltena;Apvidus;6200;193387
Nissan Qashqai;Nissan;Qashqai;2011;Jūnijs;1,5;Dīzelis;Manuāla 6 ātrumi;Brūnametālika;Apvidus;6200;261626
Nissan Juke;Nissan;Juke;2012;Augusts;1,6;Benzīns;Manuāla;Zaļa;Apvidus;6200;139482
Citroen C4 Picasso;Citroen;C4 Picasso;2015;;2;Dīzelis;Manuāla 6 ātrumi;Balta;Minivens;6200;173812
Citroen C4 Picasso;Citroen;C4 Picasso;2015;;2;Dīzelis;Manuāla 6 ātrumi;Balta;Minivens;6200;173812
Nissan Juke;Nissan;Juke;2012;;1,5;Dīzelis;Manuāla 6 ātrumi;Sarkana;Hečbeks;6200;230000
Kia Ceed;Kia;Ceed;2015;Aprīlis;1,6;Dīzelis;Manuāla 6 ātrumi;Brūna;Universāls;6200;262000
Citroen Jumper;Citroen;Jumper;2014;Jūlijs;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Mikroautobuss;6200;
Hyundai i30;Hyundai;i30;2013;;1,4;Benzīns;Manuāla;Brūna;Pikaps;6200;170000
Nissan Juke;Nissan;Juke;2012;;1,5;Dīzelis;Manuāla;Pelēka;Apvidus;6190;
