Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Suzuki Liana;Suzuki;Liana;2007;;1,6;Benzīns;Manuāla;Melna;Hečbeks;1990;196000
Suzuki Ignis;Suzuki;Ignis;2005;;1,3;Benzīns;Manuāla 5 ātrumi;Sudraba;Hečbeks;1990;183000
Toyota Corolla Verso;Toyota;Corolla Verso;2005;;2;Dīzelis;Manuāla;Zilametālika;Minivens;1990;
Nissan Primastar;Nissan;Primastar;2008;;2;Dīzelis;Manuāla 6 ātrumi;Pelēka;Mikroautobuss;1980;240400
Citroen Berlingo;Citroen;Berlingo;2008;;1,6;Benzīns/Gāze;Manuāla;Gaiši;Minivens;1975;221000
Kia Carnival;Kia;Carnival;2008;Novembris;2,9;Dīzelis;Automāts 5 ātrumi;Pelēka;Minivens;1950;352920
Skoda Fabia;Skoda;Fabia;2007;;1,9;Dīzelis;Manuāla;Sudrabametālika;Universāls;1950;
Skoda Fabia;Skoda;Fabia;2007;Jūnijs;1,9;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Universāls;1950;
Toyota Aygo;Toyota;Aygo;2007;Aprīlis;1;Benzīns;Manuāla 5 ātrumi;Melnametālika;Hečbeks;1950;
Toyota Aygo;Toyota;Aygo;2009;;1;Benzīns;Manuāla;Sarkanametālika;Hečbeks;1950;230000
Toyota RAV 4;Toyota;RAV 4;2002;Maijs;2;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Apvidus;1950;397463
Toyota Avensis;Toyota;Avensis;2004;Janvāris;2;Benzīns;Manuāla 5 ātrumi;Sudrabametālika;Universāls;1950;252439
Citroen C-Elysee;Citroen;C-Elysee;2013;Oktobris;1,6;Dīzelis;Manuāla;Pelēkametālika;Sedans;1950;298000
Hyundai Sonata;Hyundai;Sonata;2008;Marts;2;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Sedans;1950;241104
Hyundai Sonata;Hyundai;Sonata;2006;Maijs;2,4;Benzīns;Manuāla 5 ātrumi;Melna;Sedans;1950;109600
Hyundai Sonata;Hyundai;Sonata;2007;Oktobris;2;Dīzelis;Automāts;Sudraba;Sedans;1950;229000
